,available_beds_without_oxygen,hospital_name,amc_available_beds_with_oxygen,district,amc_occupied_beds_without_oxygen,private_occupied_beds_with_oxygen,available_icu_beds_with_ventilator,private_available_icu_beds_without_ventilator,available_icu_beds_without_ventilator,private_occupied_beds_without_oxygen,hospital_address,amc_occupied_beds_with_oxygen,private_available_beds_without_oxygen,private_occupied_icu_beds_without_ventilator,total_beds_with_oxygen,total_beds_without_oxygen,amc_available_beds_without_oxygen,area,total_icu_beds_with_ventilator,pincode,private_occupied_icu_beds_with_ventilator,amc_available_icu_beds_with_ventilator,amc_occupied_icu_beds_without_ventilator,amc_occupied_icu_beds_with_ventilator,available_beds_with_oxygen,amc_available_icu_beds_without_ventilator,private_available_beds_with_oxygen,total_icu_beds_without_ventilator,private_available_icu_beds_with_ventilator,hospital_phone,last_updated_on,hospital_poc_phone,charges,__delete__,hospital_poc_name,hospital_poc_designation,total_beds_allocated_to_covid,state,hospital_category,hospital_poc_email,facility_id,fee_regulated_beds,Notes,available_beds_allocated_to_covid,officer_name,officer_designation,bed_breakup,last_updated_time,last_updated_date
29,0,UNITY HOSPITAL,3.0,Ahmedabad,0.0,5.0,4,1.0,1,4.0,"51, Shripal Nagar Soceity, New C.G. Road Corner, Opp. Pebble Bay, Near BRTS Stand, Janta Nagar, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India",0.0,0.0,7.0,11,4,0.0,Chandkheda,7,382424,2.0,0.0,-1.0,1.0,6,0.0,3.0,8,4.0,,,,,,,,,,,,,,,,,,,,
30,0,Samved orthopedic,1.0,Ahmedabad,0.0,3.0,0,0.0,0,1.0,"3rd Floor, Samved Hospital, Near Sopan Flats, Stadium, to, Commerce Six Roads, Girivar Society, Navrangpura, Ahmedabad, Gujarat 380009, India",0.0,0.0,9.0,6,1,0.0,Navarangpura,0,380009,0.0,0.0,-1.0,0.0,3,0.0,2.0,9,0.0,,,,,,,,,,,,,,,,,,,,
31,0,PHOENIX EME. & CRI. CARE,1.0,Ahmedabad,0.0,20.0,4,6.0,8,4.0,"78, Naranpura, Ahmedabad, Gujarat 380063, India",0.0,0.0,0.0,24,4,0.0,NARANPURA,4,380063,0.0,1.0,-1.0,0.0,4,2.0,3.0,8,3.0,,,,,,,,,,,,,,,,,,,,
32,1,Krishna hospital,0.0,Ahmedabad,0.0,10.0,1,2.0,2,0.0,"Suryarani Complex, Akhabarnagar Cross Road, 132 Feet Ring Rd, Nava Vadaj, Ahmedabad, Gujarat 380013, India",0.0,1.0,5.0,11,1,0.0,Nava Vadaj,1,380013,0.0,0.0,-1.0,0.0,1,0.0,1.0,7,1.0,,,,,,,,,,,,,,,,,,,,
33,32,Dr. Jivraj Mehta Vasna,0.0,Ahmedabad,0.0,2.0,4,5.0,6,6.0,"Dr Jivraj Mehta Marg, Vasna, Ahmedabad, Gujarat, India",4.0,32.0,0.0,26,38,0.0,Vasna,4,,0.0,1.0,-1.0,0.0,20,1.0,20.0,6,3.0,,,,,,,,,,,,,,,,,,,,
34,0,Panchshil,3.0,Ahmedabad,0.0,0.0,2,9.0,9,4.0,"Acher, Ahmedabad, Gujarat 380005, India",0.0,0.0,1.0,12,4,0.0,Sabarmati,5,380005,2.0,0.0,-1.0,1.0,12,0.0,9.0,10,2.0,,,,,,,,,,,,,,,,,,,,
35,0,HEALTHY MIND,10.0,Ahmedabad,0.0,0.0,0,0.0,0,10.0,"5/A, Commerce Six Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",0.0,0.0,28.0,16,10,0.0,NAVARANGPURA,6,380009,6.0,0.0,-1.0,0.0,16,0.0,6.0,28,0.0,,,,,,,,,,,,,,,,,,,,
36,0,Dev hospital,0.0,Ahmedabad,0.0,4.0,0,0.0,0,0.0,"A/207-8-9, Swaminarayan Avenue 132' Ring Road A.E.C. Cross, Road, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013, India",0.0,0.0,6.0,4,0,0.0,NARANPURA,0,380013,0.0,0.0,-1.0,0.0,0,0.0,0.0,6,0.0,,,,,,,,,,,,,,,,,,,,
37,6,Shruti met. & surgi. Hospital,1.0,Ahmedabad,0.0,0.0,1,1.0,1,0.0,"D-2/D-3, Medical Complex, Chandni Apartment, Sola Road, BRTS, near Parasnagar, Paras Nagar, Naranpura, Ahmedabad, Gujarat 380063, India",0.0,6.0,0.0,2,6,0.0,NARANPURA,1,380063,0.0,0.0,0.0,0.0,2,0.0,1.0,1,1.0,,,,,,,,,,,,,,,,,,,,
38,8,Gayatri heart & med. Hospital,1.0,Ahmedabad,0.0,0.0,1,1.0,3,0.0,"G-6/7, Chakrawaty Complex, Bhimjipura Road, Bhimjipura, Nava Vadaj, near Vijay Co Op Bank Ltd, Bhimjipura, Nava Vadaj, Ahmedabad, Gujarat 380013, India",0.0,8.0,5.0,7,8,0.0,Nava Vadaj,2,380013,1.0,0.0,0.0,0.0,7,2.0,6.0,8,1.0,,,,,,,,,,,,,,,,,,,,
39,7,PULSE ICCU,0.0,Ahmedabad,0.0,2.0,0,2.0,3,5.0,"Ananddham Society, Bhimjipura Rd, Mevavala Nagar, Sardar Colony, Ahmedabad, Gujarat 380013, India",0.0,7.0,2.0,2,12,0.0,Nava Vadaj,2,380013,2.0,0.0,0.0,0.0,0,1.0,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,
40,25,PUKHRAJ,0.0,Ahmedabad,0.0,1.0,0,0.0,0,0.0,"Bulakhidas Rd, Ramnagar, Abu Street Society, Sabarmati, Ahmedabad, Gujarat 380005, India",0.0,25.0,0.0,12,25,0.0,SABARMATI,0,380005,0.0,0.0,0.0,0.0,11,0.0,11.0,0,0.0,,,,,,,,,,,,,,,,,,,,
41,3,Asian sup. Spe. Hospital,1.0,Ahmedabad,0.0,7.0,0,1.0,2,0.0,"Binali Complex B-block, Opposite Torrent Power Office, Near AEC Cross Road, Naranpura, Naranpura, Ahmedabad, Gujarat 380013, India",0.0,3.0,6.0,11,3,0.0,NARANPURA,3,380013,2.0,0.0,0.0,1.0,4,1.0,3.0,8,0.0,,,,,,,,,,,,,,,,,,,,
42,0,Spandan Eme. & Critical Care,1.0,Ahmedabad,0.0,5.0,0,0.0,1,5.0,"4th floor , mansarovar avenue , above syndicate bank , opp tulsishyam flate, Mahesana Society, Nava Vadaj, Ahmedabad, Gujarat 380013, India",0.0,0.0,6.0,6,5,0.0,Nava Vadaj,4,380013,4.0,0.0,0.0,0.0,1,1.0,0.0,7,0.0,,,,,,,,,,,,,,,,,,,,
43,12,shreeji Hospital,1.0,Ahmedabad,0.0,4.0,1,0.0,1,0.0,"Nr. Visat petrol pump, ONGC Avani bhavan, Sunrise Nagar, Ram Nagar, Sabarmati, Ahmedabad, Gujarat 380005, India",0.0,12.0,11.0,8,12,0.0,SABARMATI,4,380005,3.0,1.0,0.0,0.0,4,1.0,3.0,12,0.0,,,,,,,,,,,,,,,,,,,,
44,0,"Medilink Hospital, sabarmati",12.0,Ahmedabad,0.0,0.0,0,10.0,12,0.0,"132 ft Ring Road, Opp. Someshwara Jain Temple, Satellite, Swinagar Society, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015, India",0.0,0.0,0.0,58,0,0.0,SABARMATI,0,380015,0.0,0.0,0.0,0.0,58,2.0,46.0,12,0.0,,,,,,,,,,,,,,,,,,,,
45,2,saviour (lakhudi tadav),4.0,Ahmedabad,0.0,2.0,0,12.0,16,0.0,"Sardar Patel Stadium Rd, Near Bharat Petrol Pump, Chaitanya Nagar, Navrangpura, Ahmedabad, Gujarat 380014, India",0.0,2.0,3.0,19,2,0.0,NAVARANGPURA,3,380014,3.0,0.0,0.0,0.0,17,4.0,13.0,19,0.0,,,,,,,,,,,,,,,,,,,,
46,7,AVION KIDNEY,1.0,Ahmedabad,0.0,0.0,1,5.0,6,0.0,"604,605 copper leaf, Sola Rd, opposite Solaris Complex, Chitrakut Society, Bhuyang Dev, Memnagar, Ahmedabad, Gujarat 380013, India",0.0,7.0,1.0,6,7,0.0,NARANPURA,1,380013,0.0,0.0,0.0,0.0,6,1.0,5.0,7,1.0,,,,,,,,,,,,,,,,,,,,
47,10,Athen Hospital,2.0,Ahmedabad,0.0,5.0,0,0.0,1,0.0,,0.0,10.0,3.0,10,10,0.0,Ahmedabad,0,,0.0,0.0,0.0,0.0,5,1.0,3.0,4,0.0,,,,,,,,,,,,,,,,,,,,
48,0,Noble Gastro Hospital,2.0,Ahmedabad,0.0,8.0,0,1.0,2,0.0,"Shaival Imperia 5th & 6th Floor, Mithakhali Six Rd, opp. Nalanda Hotel, Mithakhali, Ellisbridge, Ahmedabad, Gujarat 380009, India",2.0,0.0,0.0,21,0,0.0,Navrangpura,2,380009,2.0,0.0,0.0,0.0,11,1.0,9.0,2,0.0,,,,,,,,,,,,,,,,,,,,
49,32,JAYDIP HOSPITAL,1.0,Ahmedabad,0.0,0.0,2,3.0,3,0.0,,0.0,32.0,0.0,12,32,0.0,Stadium,2,,0.0,0.0,0.0,0.0,12,0.0,11.0,3,2.0,,,,,,,,,,,,,,,,,,,,
50,25,D.K.PATEL Hall op. by Devasya Sup. Spe. Hospi.,0.0,Ahmedabad,0.0,8.0,0,0.0,0,5.0,,0.0,25.0,6.0,50,30,0.0,Naranpura,4,,4.0,0.0,0.0,0.0,42,0.0,42.0,6,0.0,,,,,,,,,,,,,,,,,,,,
51,3,Shilp Surgical,2.0,Ahmedabad,0.0,7.0,0,0.0,0,2.0,,0.0,3.0,3.0,17,5,0.0,Sabarmati,0,,0.0,0.0,0.0,0.0,10,0.0,8.0,3,0.0,,,,,,,,,,,,,,,,,,,,
52,0,Devasya Hospital,0.0,Ahmedabad,0.0,0.0,0,1.0,1,2.0,"2nd Floor, Samarpan Complex S.P Ring Road, nr. Ambli-bopal Circle, Ambli, Ahmedabad, Gujarat 380059, India",0.0,0.0,4.0,0,2,0.0,BOPAL,1,380059,1.0,0.0,0.0,0.0,0,0.0,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,
53,0,JAGMOHAN,1.0,Ahmedabad,0.0,11.0,0,0.0,0,0.0,,3.0,0.0,2.0,16,0,0.0,Navrangpura,0,,0.0,0.0,0.0,0.0,2,0.0,1.0,2,0.0,,,,,,,,,,,,,,,,,,,,
54,3,CHEERS,1.0,Ahmedabad,0.0,0.0,2,11.0,15,0.0,,0.0,3.0,4.0,4,3,0.0,Navrangpura,4,,2.0,1.0,0.0,0.0,4,4.0,3.0,19,1.0,,,,,,,,,,,,,,,,,,,,
55,20,SHAMLA SCENERIA,4.0,Ahmedabad,0.0,0.0,3,6.0,7,0.0,,0.0,20.0,0.0,20,20,0.0,Navrangpura,4,,1.0,0.0,1.0,0.0,20,1.0,16.0,8,3.0,,,,,,,,,,,,,,,,,,,,
56,36,Sunrise,1.0,Ahmedabad,0.0,9.0,0,0.0,0,1.0,"City Centre Arcade, near SRP Campus, Naroda Patiya, Naroda, Ahmedabad, Gujarat 382345, India",3.0,36.0,10.0,18,37,0.0,NARODA,8,382345,6.0,0.0,2.0,2.0,6,0.0,5.0,12,0.0,,,,,,,,,,,,,,,,,,,,
57,14,Shreeji icu & multi. Spe. Hospital,0.0,Ahmedabad,0.0,0.0,1,6.0,7,0.0,"SAHAJANAND ARCADE, EVEREST MILAN CINEMA, Cross Rd, Krishna Nagar, Saraspur, Ahmedabad, Gujarat 380018, India",1.0,14.0,2.0,6,14,0.0,SARASPUR,4,380018,3.0,0.0,0.0,0.0,5,1.0,5.0,9,1.0,,,,,,,,,,,,,,,,,,,,
58,4,Aarna medical hospital,2.0,Ahmedabad,0.0,5.0,0,0.0,0,3.0,"107, Devraj Mall, India Colony Rd, Thakkarbapanagar, Bapunagar, Ahmedabad, Gujarat 380024, India",0.0,4.0,0.0,10,7,0.0,BAPUNAGAR,0,380024,0.0,0.0,0.0,0.0,5,0.0,3.0,0,0.0,,,,,,,,,,,,,,,,,,,,
59,4,"Star Hospital, Bapunagar,",4.0,Ahmedabad,0.0,13.0,1,0.0,0,0.0,"near Indica Laboratories, Vadilal Park, Bapunagar, Ahmedabad, Gujarat 380024, India",1.0,4.0,3.0,30,4,0.0,India colony,7,380024,5.0,1.0,1.0,1.0,16,0.0,12.0,4,0.0,,,,,,,,,,,,,,,,,,,,
60,8,Rugved Hospital,3.0,Ahmedabad,0.0,13.0,0,0.0,0,0.0,"Shreeram Complex, Opp Nilkanth Mahadev Temple, Sardar Chowk, Krishnanagar, Ahmedabad, Gujarat 382346, India",4.0,8.0,5.0,33,8,0.0,India colony,3,382346,3.0,0.0,1.0,0.0,16,0.0,13.0,6,0.0,,,,,,,,,,,,,,,,,,,,
61,108,"Kothiya Hospital, Nikol,",9.0,Ahmedabad,0.0,7.0,4,21.0,26,4.0,"Cross Road, nr torrent power, Nikol Gam Rd, Uttamnagar, Thakkarbapanagar, Ahmedabad, Gujarat 382350, India",5.0,108.0,8.0,35,112,0.0,Thakkar bapanagar,14,382350,8.0,1.0,5.0,2.0,23,5.0,14.0,39,3.0,,,,,,,,,,,,,,,,,,,,
62,12,METALIYA HOSPITAL,2.0,Ahmedabad,0.0,0.0,0,2.0,2,0.0,"9/99, Vallabh flat, Near Diamond market and Dhanvantari, Hospital, Bapunagar, Bapunagar, Ahmedabad, Gujarat 380024, India",0.0,12.0,0.0,10,12,0.0,BAPUNAGAR,1,380024,1.0,0.0,0.0,0.0,10,0.0,8.0,2,0.0,,,,,,,,,,,,,,,,,,,,
63,38,ANAND SURGICAL HOSPITAL,6.0,Ahmedabad,0.0,20.0,1,0.0,1,2.0,"Anand Surgical Hospital, Near Memco Cross road, Naroda Road., Ambika Nagar, Om Nagar, Saijpur Bogha, Ahmedabad, Gujarat 382345, India",1.0,38.0,5.0,39,40,0.0,SAIJPUR BOGHA,7,382345,6.0,1.0,0.0,0.0,18,1.0,12.0,6,0.0,094092 54092,,,,,,,,,,,,,,,,,,,
64,4,RYTHAM HOSPITAL,0.0,Ahmedabad,0.0,2.0,0,1.0,1,0.0,"1st Floor, Shashwat Complex, Char Rasta, Savita Society, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013, India",0.0,4.0,2.0,5,4,0.0,Ahmedabad,1,380013,1.0,0.0,0.0,0.0,3,0.0,3.0,3,0.0,,,,,,,,,,,,,,,,,,,,
65,9,Tapan Hospital bapunagar,1.0,Ahmedabad,0.0,0.0,1,5.0,5,0.0,"7/75, Vallabh Flat, Cross Rd, Bapunagar, Ahmedabad, Gujarat 380024, India",0.0,9.0,0.0,6,9,0.0,RAKHIYAL,1,380024,0.0,0.0,1.0,0.0,6,0.0,5.0,6,1.0,,,,,,,,,,,,,,,,,,,,
66,13,"Sindhu Hospital, Kubernagar",4.0,Ahmedabad,0.0,3.0,0,5.0,7,0.0,"Maya Cinema Rd, Kuber Nagar, Ahmedabad, Gujarat 382340, India",1.0,13.0,3.0,24,13,0.0,Sardarnagar,3,382340,2.0,0.0,0.0,1.0,20,2.0,16.0,10,0.0,,,,,,,,,,,,,,,,,,,,
